transaction_id,sender,receiver,amount,payment_type,status,timestamp,is_fraud
DUP0002,Yolanda Crane,Eugene Johnson,4531.93,batch,completed,2026-07-04 10:22:38.595616,1
FRD0012,James Smith,Justin Nolan,11215.97,batch,completed,2026-07-04 04:05:00.000000,1
RND0004,Krystal Wilkinson,Heather Mcclure,2000.0,batch,completed,2026-07-05 21:30:00.000000,1
VEL0010,Randy Mann,Jessica Castaneda,1165.31,real-time,completed,2026-07-20 03:18:00.000000,1
TXN0702,Russell Keller,Sandra Johnson,3411.13,batch,completed,2026-07-07 22:08:30.971526,0
FRD0010,Joel Cox,Brandi Zavala,8649.22,batch,completed,2026-07-04 03:54:00.000000,1
TXN0123,Timothy Lawson,David Hickman,2129.5,real-time,completed,2026-07-11 08:40:43.714381,0
TXN0296,Tammy Williams,Mathew Ward,4447.67,batch,completed,2026-07-22 03:27:35.908841,0
TXN0544,Jamie Rosales,Faith Williams,835.68,batch,completed,2026-07-23 00:27:16.034725,0
TXN0465,Brad Malone,Theodore Mason,4504.74,batch,completed,2026-07-05 06:55:21.272934,0
TXN0041,Steven Richards,Herbert Howard,3359.71,batch,completed,2026-07-07 07:04:27.945966,0
TXN0006,Emma Taylor,Brandi Herrera,1.0,batch,completed,2026-07-21 14:02:49.860883,0
TXN0745,Tara Knight,Alexis Downs,1703.38,batch,completed,2026-07-13 04:18:41.103094,0
MIS0005,Dan Young,Brittany Joseph,3988.06,batch,completed,2026-07-14 23:57:00.000000,1
TXN0988,David Norton Jr.,Alexander Miller,2452.28,batch,completed,2026-07-28 20:11:35.727423,0
TXN0777,Amber Parker,Kara Jackson,666.76,batch,completed,2026-07-03 03:23:05.769919,0
TXN0908,Miguel Rodriguez,Kimberly Wilcox,2253.25,real-time,completed,2026-07-26 13:35:06.449266,0
RND0001,Gregory Boone,Brian Lyons,1000.0,real-time,completed,2026-07-16 00:07:00.000000,1
TXN0278,Paul Thomas,William Wilson,336.42,batch,completed,2026-07-05 10:52:40.675005,0
TXN0195,Rebecca Foster,Kevin Green,4486.29,batch,completed,2026-07-21 05:49:41.501714,0
TXN0074,Jennifer Miller,Amber Williams,4698.13,batch,completed,2026-07-27 13:57:07.580945,0
TXN0660,Emma Lucero,Robert Williams,1930.5,real-time,completed,2026-07-08 06:17:18.421801,0
WKD0009,Hector Davis,Jeffrey Osborne,8553.64,batch,completed,2026-07-13 10:00:00.000000,1
DUP0005,Jason King,John Lynch,5055.78,batch,completed,2026-07-19 05:42:06.504956,1
TXN0168,Rebecca Price,Julia Robbins,2217.79,real-time,completed,2026-07-21 13:29:18.806272,0
TXN0240,Joseph Hayes,Annette Miller,3697.15,batch,completed,2026-07-04 02:47:15.913778,0
TXN0646,Brandon Hernandez,Paul Green,3227.09,batch,completed,2026-07-30 13:38:17.594408,0
TXN0946,Nicholas Hamilton,Kimberly Meza,2871.47,batch,completed,2026-07-18 03:41:21.777649,0
TXN0898,Christine Rogers,Wendy Price,934.16,batch,completed,2026-07-11 09:01:50.027965,0
TXN0928,Matthew Booth,Elizabeth Crawford,2027.99,real-time,completed,2026-07-02 20:38:35.463215,0
STR0004,Tyrone Wilson,Alexander Robinson,968.13,real-time,completed,2026-07-15 14:04:00.000000,1
TXN0710,Lisa Miller,Jonathan Hernandez,5579.14,real-time,completed,2026-07-20 01:31:53.206004,0
TXN0081,George Smith,Robert Johnson,2875.84,batch,completed,2026-07-23 21:16:42.573986,0
TXN0555,Robert Farmer,Renee Green,1.0,batch,completed,2026-07-14 20:04:40.433297,0
TXN0749,Kristin Thomas,Carmen May,3050.33,real-time,completed,2026-07-26 23:27:40.802539,0
TXN0487,John Watts,Jack Mitchell,2249.87,batch,completed,2026-07-04 21:14:39.585788,0
TXN0742,Kimberly Lee,Karen Hendricks,5092.06,batch,completed,2026-07-23 22:08:37.099734,0
TXN0187,Adam Long,Lorraine Rogers,4157.92,real-time,completed,2026-07-27 12:53:39.289513,0
TXN0061,Sara Chandler,Elaine Schmidt,1127.45,batch,completed,2026-07-29 15:50:09.325400,0
TXN0322,Christopher Brown,Molly Smith,3820.07,real-time,completed,2026-07-06 07:32:50.827925,0
TXN0016,Melissa Cole,Renee Bailey,1505.52,batch,completed,2026-07-18 05:59:51.772840,0
GHT0007,Thomas Tucker,Mike Mcdonald,0.72,real-time,completed,2026-07-05 06:18:00.000000,1
STR0008,Tyrone Wilson,Alexander Robinson,905.54,real-time,completed,2026-07-15 14:08:00.000000,1
TXN0861,Veronica Edwards,Kathy Humphrey,1815.31,batch,completed,2026-07-15 06:56:16.866083,0
TXN0982,James Ferguson,Erica Clark,3527.76,real-time,completed,2026-07-06 16:39:23.040496,0
TXN0472,Amanda Anderson,George Estes,3302.68,real-time,completed,2026-07-04 11:37:38.703476,0
TXN0664,Stephen Wood,Joshua Wright,2802.43,batch,completed,2026-07-06 06:41:13.842635,0
TXN0015,Amanda Hayes,Madison Reed,2111.29,batch,completed,2026-07-12 06:25:11.648283,0
TXN0091,Matthew Wilson,Willie Anderson,919.2,batch,completed,2026-07-02 05:14:31.366768,0
TXN0360,Anthony Lewis,Angela Hernandez,1070.09,batch,completed,2026-07-05 10:24:54.923892,0
TXN0488,Ryan Baker,Sheena Foley,3493.18,batch,completed,2026-07-27 13:33:48.819179,0
TXN0142,Whitney Villegas,Angelica Murray,3787.62,batch,completed,2026-07-04 15:58:52.400685,0
TXN0177,Mary Reyes,Kevin Harper,3250.81,batch,completed,2026-07-17 13:21:42.207179,0
TXN0784,Melinda Hansen,Richard Smith,3071.21,batch,completed,2026-07-08 13:29:11.671063,0
TXN0033,Whitney Mata,Brooke Allison,3259.65,batch,completed,2026-07-05 20:45:10.582546,0
TXN0998,Michael Kim,Jennifer Smith,2139.58,batch,completed,2026-07-28 16:32:21.734347,0
TXN0799,Thomas Meyers,Crystal Wright,1.0,batch,completed,2026-07-13 15:18:14.853343,0
RND0006,Nancy Cole,Tanner Gonzalez,5000.0,batch,completed,2026-07-23 09:25:00.000000,1
TXN0047,Frederick Zavala,Crystal Dunn,2206.14,batch,completed,2026-07-15 23:50:38.126710,0
TXN0249,Joel Hudson,Zachary Prince,4491.74,real-time,completed,2026-07-15 08:21:51.644464,0
TXN0131,Dennis Barrera,Elizabeth White,4144.65,batch,completed,2026-07-25 07:01:43.237645,0
TXN0603,Crystal Werner,Leonard Russell,4882.33,batch,completed,2026-07-29 10:14:37.322638,0
TXN0458,Richard Lee,Sarah Woodward,197.14,real-time,completed,2026-07-03 21:29:49.143819,0
TXN0115,Lindsey Rivera,Rebecca Dillon,5153.57,real-time,completed,2026-07-25 19:34:06.847309,0
TXN0265,Lucas Patel,Steven Lang,3781.29,batch,completed,2026-07-25 19:32:08.215535,0
TXN0422,Joshua Shaffer,Tony Gallagher,1196.69,batch,completed,2026-07-27 00:00:21.511035,0
TXN0094,Gregory Sullivan,Haley Brooks,2123.7,batch,completed,2026-07-24 22:11:16.320795,0
TXN0327,Tyler Fisher,Jennifer Foster,4186.12,batch,completed,2026-07-14 13:34:21.602030,0
TXN0045,Jason Johnson,Chad Thompson,3792.22,batch,completed,2026-07-11 19:32:14.904476,0
TXN0339,Jose Hall,Bryan Shah,1162.64,real-time,completed,2026-07-15 23:49:19.507204,0
TXN0212,Kelli Tyler,Matthew Hunter,1.0,real-time,completed,2026-07-29 13:53:44.520149,0
TXN0546,Cynthia Park,Adam Ramirez,2526.78,real-time,completed,2026-07-04 19:52:22.983114,0
TXN0921,Mark Berry,Virginia Munoz,2056.72,batch,completed,2026-07-20 13:01:30.139796,0
TXN0566,Gloria Rivera,David Cox,891.26,batch,completed,2026-07-30 11:05:07.811344,0
TXN0652,Robert Meza,Melissa Rice,2673.08,batch,completed,2026-07-11 13:27:50.807276,0
TXN0598,Victoria Carson,Jaime Watts,1513.66,batch,completed,2026-07-07 02:37:03.494348,0
TXN0741,Steven Brown,Jesse Downs,3236.58,batch,completed,2026-07-19 17:29:34.702284,0
TXN0573,Joshua Dean,Danielle Bell,2065.03,real-time,completed,2026-07-29 08:35:42.262870,0
TXN1000,Jose Dixon,Christina Gray,4916.77,batch,completed,2026-07-15 00:14:53.276122,0
TXN0315,Kristin Rogers,Lisa Leblanc,3217.7,real-time,completed,2026-07-25 11:49:00.461769,0
TXN0479,Timothy Hansen,Matthew Bartlett,2981.42,real-time,completed,2026-07-17 02:03:38.324962,0
TXN0728,Michael Wright,Patricia Gentry,3908.81,real-time,completed,2026-07-08 01:40:08.248020,0
TXN0636,Christine Khan,Michael Webb,3620.29,batch,completed,2026-07-24 17:53:43.931760,0
TXN0340,Sara Beard,Isabel Griffith,4320.05,batch,completed,2026-07-29 14:56:16.448045,0
TXN0355,Teresa Day,Taylor Smith,1414.63,real-time,completed,2026-07-03 18:15:03.656299,0
TXN0272,Michele Miller,Raymond Richardson,3511.34,batch,completed,2026-07-07 17:33:35.271483,0
TXN0706,Philip George,Michael Butler,1869.25,batch,completed,2026-07-13 01:50:39.832100,0
TXN0845,Nancy Mclaughlin,Keith Johnson,3139.98,batch,completed,2026-07-04 16:10:46.237983,0
TXN0651,Tiffany Smith,Tara Green,4350.08,batch,completed,2026-07-06 12:02:22.324917,0
TXN0437,Amy Brown,Sara Carroll,1583.88,batch,completed,2026-07-09 01:39:01.995420,0
MIS0004,Mark Tanner,Joseph Morrison,3979.96,batch,completed,2026-07-18 23:16:00.000000,1
TXN0297,Emily Bennett,Briana Martinez,4330.13,real-time,completed,2026-07-26 09:08:01.020386,0
TXN0528,Timothy Huerta,Matthew Adams,2081.34,real-time,completed,2026-07-09 06:57:57.433447,0
TXN0071,Paul Werner,Jill Larson,3382.08,real-time,completed,2026-07-06 04:53:33.821438,0
TXN0769,Jennifer Mcmahon,Dawn Franco,864.94,real-time,pending,2026-07-11 19:40:33.880780,0
TXN0865,Sharon Frank,Ronnie Wright,748.86,real-time,pending,2026-07-11 05:31:25.765001,0
TXN0661,Derrick Phillips,Melissa Abbott,849.41,batch,completed,2026-07-03 12:24:18.241234,0
TXN0057,Emma Mendoza,Timothy Cline,5044.32,batch,completed,2026-07-27 16:14:37.778215,0
TXN0004,Leah Wallace MD,Darlene Garner,1238.48,batch,completed,2026-07-06 07:08:58.523994,0
TXN0299,Michael Townsend,Jeffrey Ruiz MD,421.14,real-time,completed,2026-07-03 04:31:01.537213,0
FRD0011,Morgan Keller,Timothy Conway,10407.69,batch,completed,2026-07-09 01:46:00.000000,1
TXN0412,Jason King,John Lynch,5055.78,batch,completed,2026-07-19 05:42:06.504956,0
TXN0323,Brett Collier,Taylor Miller,3172.19,batch,completed,2026-07-09 09:47:36.145403,0
TXN0037,Stephen Harrison,Kaitlyn Kirk,3879.29,real-time,completed,2026-07-13 05:11:35.423572,0
TXN0944,Theresa Nelson,Stephanie Lee,1862.56,batch,completed,2026-07-09 08:00:46.642648,0
TXN0964,Morgan Hobbs,Jaime Kline,4448.3,batch,completed,2026-07-16 02:03:33.223189,0
TXN0708,Angela Thomas,Thomas Garza,3130.18,real-time,completed,2026-07-29 13:58:33.562323,0
TXN0595,Tracy Cook,Earl Allen,1260.45,batch,completed,2026-07-06 16:29:50.911218,0
TXN0541,Laura Alvarado,Jacob Neal,96.2,batch,completed,2026-07-27 14:27:25.907613,0
TXN0125,William Nguyen,William Perez,3996.76,batch,completed,2026-07-20 09:11:00.998583,0
TXN0922,Nicole Pitts,Edgar Schwartz,3725.78,batch,completed,2026-07-02 07:43:47.484411,0
TXN0435,Jared Harris,Tracy Newton,5307.07,real-time,completed,2026-07-01 00:19:16.834032,0
TXN0754,Betty Solis,Katelyn Williams,2985.29,batch,completed,2026-07-27 01:31:29.082963,0
TXN0666,Joseph Burke,Traci Walter,3129.77,batch,completed,2026-07-06 15:50:27.768249,0
TXN0615,Leah Oconnor,Steven Brown,2832.92,batch,completed,2026-07-09 01:25:28.243773,0
VEL0018,Randy Mann,Stephanie Davies,376.24,real-time,completed,2026-07-20 03:34:00.000000,1
TXN0075,Richard Thomas,Robert Saunders,3079.05,batch,completed,2026-07-11 13:05:58.440563,0
TXN0451,Jose Alexander Jr.,Carl Castro,2577.62,batch,completed,2026-07-26 07:58:00.232184,0
TXN0170,Tammy Tanner,Rhonda Rivera,3321.75,real-time,completed,2026-07-28 04:24:49.659981,0
TXN0162,Annette Flores,Joshua Young,3350.82,real-time,completed,2026-07-07 04:01:18.330621,0
GHT0002,Jasmine Johns,Matthew Schwartz,0.41,real-time,completed,2026-07-16 06:55:00.000000,1
TXN0467,Carolyn Byrd,Jennifer Moore,1856.22,batch,completed,2026-07-13 00:51:00.733632,0
TXN0604,Mrs. Joy Love DVM,Emily Cruz,3120.36,real-time,completed,2026-07-15 10:33:53.048961,0
TXN0054,Jacqueline Williams,Carla Thompson,1191.19,batch,completed,2026-07-21 07:32:24.912716,0
TXN0943,Sarah Sherman,Erin Melendez,2337.26,real-time,completed,2026-07-29 02:51:44.553049,0
WKD0004,Jeremiah Peterson,Olivia Brown,10045.05,batch,completed,2026-07-19 18:00:00.000000,1
FRD0008,Todd Jordan,Heather Young,13640.73,batch,completed,2026-07-23 04:21:00.000000,1
TXN0535,Timothy Butler,Karen Gonzalez,1703.72,batch,completed,2026-07-18 07:21:14.497932,0
TXN0137,Michael Ray,Michael Waters,4590.89,batch,completed,2026-07-10 02:07:20.699871,0
TXN0808,John Lopez,Paul Johnson,37.8,batch,completed,2026-07-10 17:16:32.411984,0
TXN0357,Veronica Pena,Michael Wiggins,1079.94,batch,completed,2026-07-13 06:48:52.394809,0
TXN0484,Patty Dominguez,Michael Santiago,5213.43,real-time,completed,2026-07-06 01:40:33.484833,0
TXN0499,Julian Phillips,Cesar Hurst,1.0,real-time,completed,2026-07-11 15:19:18.509913,0
TXN0394,Samuel Jones,Todd Sanchez,1848.35,batch,completed,2026-07-30 02:31:18.592235,0
TXN0853,Sherry Chen,Monique Santos MD,3607.69,real-time,completed,2026-07-18 01:56:49.418745,0
TXN0859,Scott Bradley,Teresa Benson,2128.07,batch,completed,2026-07-13 10:18:51.042177,0
TXN0285,Robert Jennings,Judy Chen,2538.8,real-time,completed,2026-07-25 23:38:56.357007,0
RND0009,Jennifer Mclean,Betty Dean,5000.0,batch,completed,2026-07-01 02:45:00.000000,1
TXN0098,Michael Collins,Brian Daniels,1076.93,batch,completed,2026-07-08 02:04:44.394042,0
TXN0201,Renee Johnston,Matthew Burgess,2509.07,batch,completed,2026-07-22 13:08:48.436532,0
TXN0064,Nathan Zhang,Jeremy Carr,1865.05,real-time,completed,2026-07-13 23:26:25.978616,0
TXN0948,Tabitha Stout,Rita Jacobs,2426.03,batch,completed,2026-07-30 11:21:40.073197,0
TXN0132,Luis Diaz,Melissa Bishop,1537.76,batch,completed,2026-07-24 18:33:42.947204,0
TXN0791,Henry Stuart,Jamie Martin,479.66,batch,completed,2026-07-28 22:53:19.216233,0
TXN0215,Michael Knight,Anthony Smith,2850.01,batch,completed,2026-07-22 23:25:49.424298,0
TXN0438,Christopher Yates,Janice Sullivan,2661.73,batch,completed,2026-07-23 05:01:57.196902,0
TXN0493,Kyle Stevens,Debra Fisher,1.0,batch,completed,2026-07-03 01:58:37.345846,0
TXN0616,Michael Moore,Cassandra Cardenas,2530.38,batch,completed,2026-07-13 12:40:46.973461,0
RND0010,Leslie Cox,Leah Williams,1000.0,batch,completed,2026-07-03 01:55:00.000000,1
TXN0763,Joan Carrillo,Katherine Kim,4667.33,batch,completed,2026-07-22 22:43:59.263128,0
TXN0935,Amy Moore,Deborah Fisher,3135.82,batch,completed,2026-07-29 15:34:59.115533,0
TXN0680,Amber Jones,Susan Austin,3540.29,batch,completed,2026-07-17 19:22:25.094258,0
FRD0003,Abigail Mckenzie,Nancy Mosley,13184.67,batch,completed,2026-07-18 01:37:00.000000,1
TXN0860,David Murphy,Amy Chambers,3831.62,real-time,completed,2026-07-27 01:37:28.249015,0
TXN0457,Natalie Davidson,Renee Wilkerson,3913.36,batch,completed,2026-07-27 17:31:57.282693,0
TXN0464,Paul Farrell,Dustin Johnson,4595.36,batch,completed,2026-07-15 22:15:08.492016,0
TXN0659,Diana Young,Billy Weeks,3483.93,batch,completed,2026-07-18 07:25:57.919843,0
TXN0722,Robert Ramirez,Charles Garza,2098.93,real-time,completed,2026-07-24 19:11:02.417027,0
TXN0413,Robert Sutton,James Washington,783.0,batch,completed,2026-07-29 04:18:18.381216,0
TXN0030,Victoria Sloan,Peter Brown,1725.95,real-time,completed,2026-07-23 12:19:44.334262,0
SWT0009,Dr. Charles Jones MD,Nicole Beard,5694.12,real-time,completed,2026-07-20 13:49:39.074257,1
TXN0023,Jeremy Davis,Melissa Norman,921.03,batch,completed,2026-07-15 07:15:26.721575,0
SWT0002,Stephen Lee,Mary Kane,3272.565,real-time,failed,2026-07-17 20:05:31.418301,1
TXN0649,Meredith Simpson,Barbara Clark,2240.36,batch,completed,2026-07-25 13:36:29.802571,0
TXN0366,Mary Brown,John Stark,3021.87,real-time,completed,2026-07-27 13:08:24.634426,0
RND0011,Robert Levine,Donald Nguyen,10000.0,batch,completed,2026-07-17 07:17:00.000000,1
TXN0815,Christopher Huffman,Anthony Cox,3143.1,batch,completed,2026-07-23 08:15:30.701720,0
TXN0337,Benjamin Charles,Sarah Nguyen,1264.77,batch,completed,2026-07-26 11:54:26.753615,0
TXN0189,Christina Miles,Terry Richards,3382.45,real-time,completed,2026-07-13 05:37:48.739111,0
TXN0858,Andrea Reed,Michael Shannon,2186.99,real-time,completed,2026-07-21 10:36:25.854052,0
TXN0171,William Ellis,Christopher Ramos,1437.76,batch,completed,2026-07-19 16:27:19.466447,0
TXN0550,Derek Davis,Mary Morris,4660.84,real-time,completed,2026-07-01 06:23:11.542931,0
TXN0205,Wendy Ruiz,Ryan Robinson DDS,3482.89,batch,completed,2026-07-13 18:25:58.312934,0
TXN0044,Kristopher Stevens,Kelly Yang,2921.27,batch,completed,2026-07-04 11:57:00.369977,0
TXN0088,Tabitha Turner,Ashley Dean,4353.08,real-time,completed,2026-07-11 05:43:21.317600,0
TXN0423,John Wallace,Jessica Baldwin,4893.67,batch,completed,2026-07-13 10:13:07.315989,0
TXN0402,Edward Lin,Tracy Scott,1.0,real-time,completed,2026-07-24 22:30:01.872373,0
TXN0804,Kelsey Kim,Dustin Avila,3075.34,batch,completed,2026-07-07 03:29:04.928267,0
TXN0634,Jamie Walton,Michael Williams,3869.25,batch,completed,2026-07-25 17:11:26.259184,0
TXN0027,Dr. Charles Jones MD,Nicole Beard,3796.08,batch,completed,2026-07-20 13:49:39.074257,0
TXN0965,Patricia Fields,Collin Smith,3357.85,batch,completed,2026-07-30 12:58:23.557029,0
SWT0006,Mackenzie Kim,Richard Palmer,3745.545,real-time,completed,2026-07-07 11:31:21.648050,1
TXN0940,Alexis Obrien,Alicia Moreno,3168.91,batch,completed,2026-07-01 10:43:36.493510,0
TXN0951,Justin Baldwin,David Thomas,1.0,real-time,completed,2026-07-12 11:44:02.162085,0
TXN0886,Mrs. Diana Nolan,Jonathan Roberts,3637.36,batch,completed,2026-07-12 06:07:41.962829,0
TXN0210,Dawn Hubbard,Jordan Guerra,1088.76,batch,completed,2026-07-20 02:52:12.334451,0
TXN0931,Jimmy Mack,Brandon Johnson,225.93,real-time,completed,2026-07-25 23:18:20.026184,0
TXN0679,Jared Hansen,John Lopez,2012.96,batch,completed,2026-07-19 10:08:16.894821,0
TXN0426,Tammy Combs,Jill Wilson,3217.4,batch,completed,2026-07-23 00:35:55.942516,0
DUP0006,Jared Hansen,John Lopez,2012.96,batch,completed,2026-07-19 10:08:16.894821,1
TXN0762,Pedro Mahoney,Jacqueline Cherry,2385.04,real-time,completed,2026-07-05 04:43:47.016273,0
TXN0235,Thomas Watson,Kelly Kim,8222.28,batch,completed,2026-07-23 03:46:30.641814,0
TXN0150,Brett Hart,Robert Solis,905.94,batch,completed,2026-07-07 15:55:42.946083,0
TXN0448,Chris Perez,Kevin Chen,813.54,batch,completed,2026-07-19 06:00:42.922735,0
TXN0330,Dennis Gray,Rachel Hunt,2895.05,batch,completed,2026-07-08 04:48:25.768922,0
TXN0224,Tracy Hess,Kathleen Lynch,2666.4,batch,pending,2026-07-10 18:15:11.300030,0
TXN0236,Michael Byrd,Maurice Ellis,4413.68,real-time,completed,2026-07-04 01:00:53.561707,0
TXN0440,Rebecca Owen,Stephanie Smith,2151.36,batch,completed,2026-07-02 19:12:29.642564,0
TXN0135,Leslie Allen,David Robinson,911.4,real-time,completed,2026-07-02 20:36:40.216164,0
TXN0476,Sherry Garcia,Christine Woods,3708.58,real-time,completed,2026-07-08 06:01:10.401782,0
TXN0551,Wesley Williams,Joseph Smith,5028.48,batch,completed,2026-07-27 17:48:55.047319,0
TXN0046,John Simpson,Lisa Hernandez,3454.49,batch,completed,2026-07-16 18:44:18.490812,0
TXN0938,Casey Gomez,Joshua Turner,4732.94,real-time,pending,2026-07-12 19:51:07.742563,0
TXN0822,Tracy Wright,Bradley Roth,3248.12,batch,completed,2026-07-20 17:14:55.666975,0
MIS0003,Nicole Patterson,Lisa Smith,1571.49,batch,completed,2026-07-05 23:15:00.000000,1
TXN0443,Amber Wells,Charles Brewer,2229.22,batch,completed,2026-07-18 13:45:20.733618,0
TXN0717,Sonia Brown,Jennifer Jackson,3668.24,batch,completed,2026-07-17 22:51:29.970901,0
TXN0283,Mr. Jared Pratt,Anita Long,215.03,batch,completed,2026-07-02 02:16:56.561689,0
TXN0018,Katie Moreno,Jeff Moss,4113.19,batch,completed,2026-07-15 07:56:52.875619,0
TXN0819,Debra Thomas,Michael Wheeler,3040.63,batch,completed,2026-07-12 09:46:31.844617,0
TXN0713,Michael Hamilton,Janet Velez,3724.98,batch,completed,2026-07-15 10:26:34.427297,0
TXN0627,Rodney Tanner,Michael Harris,2395.66,real-time,completed,2026-07-30 08:29:36.611632,0
TXN0222,Jeffrey Guzman,Teresa Washington,3140.81,batch,completed,2026-07-07 01:13:28.411319,0
TXN0032,Mark Moreno,Michelle Juarez,2778.44,real-time,completed,2026-07-25 04:06:46.170302,0
FRD0007,Catherine Estes,Joseph Hughes,11144.46,batch,completed,2026-07-09 01:48:00.000000,1
TXN0767,Robert Ward,Robin Davis,1689.6,real-time,completed,2026-07-11 12:37:00.900086,0
TXN0174,Tyler Foster,Elizabeth Johnson,1468.52,batch,completed,2026-07-23 08:41:15.748554,0
TXN0574,Dana Reyes,Paul Novak,3466.87,batch,completed,2026-07-19 03:07:18.285156,0
TXN0953,Kaitlin Allen,Dawn Zavala,1802.88,real-time,completed,2026-07-27 05:37:13.654587,0
TXN0536,William Morgan,Valerie Nelson,1986.05,batch,completed,2026-07-03 05:49:59.732301,0
